"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Characteristics:Назначение;Weight;Length;Width;Height;"SEO title";"SEO descr";"SEO keywords";"FB title";"FB descr";Url
401694108609;;Р002;;"Корзины;Подарочные корзины;Для хранения вещей";Тэффи;"Корзинка для мелочей<br />Размеры<strong></strong><strong></strong><strong></strong>: дно 20х13 см, верх 30х20 см, высота 13 см.<br />Материал: цельный ивовый прут.<br />";"<strong>Размеры</strong>: дно 20х13 см, верх 30х20 см, высота 13 см.<br /><strong>Материал</strong>: цельный ивовый прут.";"https://static.tildacdn.com/tild6163-3965-4431-b231-366134613163/12.jpg https://static.tildacdn.com/tild3762-3161-4337-b762-336165313237/11.jpg";1090.00;;;;;OnvLfgu1eliek9Reujv1;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-401694108609-teffi
918913701215;;Р003;;"Корзины;Подарочные корзины;Для хранения вещей";Лилечка;"Корзинка для мелочей<br />Размеры: диаметр дна 17 см, диаметр верха 27 см, высота 14 см<br />Материал: цельный ивовый прут.<br />";"<strong>Размеры</strong>: диаметр дна 17 см, диаметр верха 27 см, высота 14 см<br /><strong>Материал</strong>: цельный ивовый прут.";"https://static.tildacdn.com/tild3561-6437-4635-b062-633036663464/2.jpg https://static.tildacdn.com/tild3630-6663-4261-b564-626430336338/1.jpg";990.00;;;;;HfJ8NA1CprTRMNEMUNiy;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-918913701215-lilechka
188560667919;;Т023;;"Корзины;Сундуки и короба;Для хранения вещей;Бельевые корзины";"Короб Куба";"<strong>Размеры</strong>: 30х35 см, высота 30 см.";"<strong>Размеры:</strong> 30х35 см, высота 30 см.<br /><strong>Материалы</strong>: цельный ивовый прут, фанерное дно.";"https://static.tildacdn.com/tild6636-3734-4631-b631-623534336234/400.JPG https://static.tildacdn.com/tild3930-3363-4433-b335-636637343761/2400.JPG";2650.00;;;;;Kpe9RD6SF4G69AN80pFS;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-188560667919-korob-kuba
826488200651;;Р004;;"Корзины;Бельевые корзины;Сундуки и короба";Оливия;"Корзина для белья<br />Размеры: диаметр дна 45 см, диаметр верха 60 см, высота 60 см.<br />Материал: цельный ивовый прут.<br />";"<strong>Размеры</strong>: диаметр дна 45 см, диаметр верха 60 см, высота 60 см.<br /><strong>Материал</strong>: цельный ивовый прут.";"https://static.tildacdn.com/tild3261-6432-4433-a231-366133623136/2400.jpg https://static.tildacdn.com/tild3231-3338-4038-a538-326632313138/400.jpg";7390.00;;;;;rN4k1luO1RN58vYDu9IM;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-826488200651-oliviya
409828354214;;Т025;;"Корзины;Сундуки и короба;Для хранения вещей";"Квадратный лоток";"<strong>Размеры</strong>: 40х45 см, высота 13 см.";"<strong>Размеры</strong>: 40х45 см, высота 13 см.<br /><strong>Материалы</strong><span>: цельный ивовый прут, фанерное дно, оклеенное пленкой.</span>";https://static.tildacdn.com/tild3463-6662-4630-b131-306636333963/2.jpg;1590.00;;;;;m7ugpyiJLZnPhU3t9R8I;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-409828354214-kvadratnii-lotok
290125994701;;Т025;;"Корзины;Бельевые корзины;Сундуки и короба";Помона;"Корзина для белья<br />Размеры: диаметр 40 см, высота 70 см.<br />";"<strong>Размеры</strong>: диаметр 40 см, высота 70 см.";https://static.tildacdn.com/tild3935-6637-4535-b834-373331653339/400.jpg;5750.00;;;;;93mjoABazPc1lesJkDeA;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-290125994701-pomona
152118123613;;Т026;;"Корзины;Бельевые корзины;Сундуки и короба";Милан;"Корзина для белья<br />Размеры: высота 50 см.<br />";"<strong>Размеры</strong>: высота 50 см.";"https://static.tildacdn.com/stor3132-3639-4934-b834-646530353064/35113302.jpg https://static.tildacdn.com/stor6463-3662-4936-b832-323865643665/51991071.jpg";6175.00;;;;;Xhg3aerv8b8EZe6KNScg;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-152118123613-milan
184900115569;;Т027;;"Корзины;Для активного отдыха;Пикниковые корзины;Для дома и дачи";"Пикниковая корзина Italy";"Корзина для пикника<br />Размеры: 40х30 см, высота 35 см<br />Материал: цельный ивовый прут, лента.<br />";"<strong>Размеры</strong>: 40х30 см, высота 35 см<br /><strong>Материал</strong>: цельный ивовый прут, лента.";https://static.tildacdn.com/tild6438-6338-4437-a635-666263663934/400.JPG;3880.00;;;;;kLAsFlcPUily1c3TuHZl;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-184900115569-piknikovaya-korzina-italy
165792487145;;Т028;;"Корзины;Для активного отдыха;Пикниковые корзины";Кантри;"Пикниковая корзина<br />Размеры: дно 40х30 см, высота 28 см.<br />";"<strong>Размеры</strong>: дно 40х30 см, высота 28 см.";"https://static.tildacdn.com/tild3062-6332-4665-b037-306562623262/400.JPG https://static.tildacdn.com/tild3462-3030-4861-a465-663630366162/2400.JPG";3750.00;;;;;Di51JmfHoO1SINOB0cbx;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-165792487145-kantri
919959776384;;Т029;;"Корзины;Для активного отдыха;Пикниковые корзины;Стильные плетеные аксессуары;Подарочные корзины";Мечта;"Велокорзина<br />Размеры: низ 27х18 см, верх 36х27 см, высота 24 см.<br />";"<strong>Размеры</strong>: низ 27х18 см, верх 36х27 см, высота 24 см.";"https://static.tildacdn.com/tild3138-6632-4139-b333-356163326462/NOqzVLptDIc.jpg https://static.tildacdn.com/tild6565-3737-4666-b533-303565616565/7_b8Ub4FYzo.jpg";2590.00;;;;;IGsh7AHuaKVf2S8pnhGY;;;0;0;0;0;;;;;;https://uralbasket.ru/baskets/tproduct/777339253-919959776384-mechta
